nrInnerEdges   energy   significantDigits
40   -3945.53207829028997366549447179   0
176   -3925.28086434526176162762567401   0
736   -3929.73255577089412327040918171   0
3008   -3927.29839351629880184191279113   0
12160   -3929.21658095742441219044849277   0
48896   -3928.65350057159321295330300927   0
196096   -3927.72289810743768612155690789   0
785408   -3926.8659264664725014881696552   0
3143680   -3927.0659176224080511019565165   0
12578816   -3926.84853405063950049225240946   0
50323456   -3926.97156922694284730823710561   0
201310208   -3926.96078138509437849279493093   1
